"source","rank.set.level","no.estimates","mean.percent.error","abs.mean.percent.error","mean.abs.per.error","max.abs.per.error","root.mean.sqrd.error","no.abs.error.over.5","percent.abs.error.over.5","mean.abs.scaled.error","r.correlation","real.CV","fit.CV","mean.CV","rel.abs.MPE","rel.MAPE","rel.RMSE","rel.MASE","rel.cor","rel.over.5","rel.sum","rel.sumMASE","rel.sumRed","rel.sum.5","sys.meth.set","rank.filter","rank.method","rank.set","special.level"
"All_ROM_GenB_Model",1,58,0.24448954417539,0.24448954417539,0.319106175025362,0.988409525362859,4911.36592789334,12,0.206896551724138,2.16882569400847,0.973580553264243,0.7,5.6,5.6,1,1,1,1,0.411167620263641,1,0.85279190506591,0.882233524052728,1,0.882233524052728,"03_Size_Specific - Small - Ground","Small","Ground","03_Size_Specific",3
"All_ROM_Gen_Model",1,58,0.0531015051225363,0.0531015051225363,0.196362905406584,0.650211871955894,2541.80066505742,4,0.0689655172413793,1.16900485328208,0.973757779617781,0.4,3.5,3.5,0.152341706949593,0.14532761223416,0.216112604095345,0.224584711033839,0.366348660003132,0.272727272727273,0.220032645820558,0.220943058863214,0.171260641093033,0.230571571201901,"03_Size_Specific - Small - Ground","Small","Ground","03_Size_Specific",3
"All_ROM_Size_Model",3,58,0.0302333811599321,0.0302333811599321,0.189365924196365,0.615648347038424,2358.62542996091,3,0.0517241379310345,1.09961975522327,0.973370088543345,0.4,3.1,3.1,0.0510587060926124,0.0966070049319165,0.155515514711036,0.170772804270495,0.464392266451306,0.181818181818182,0.191893373046718,0.187669259291473,0.101060408578522,0.189878334801011,"03_Size_Specific - Small - Ground","Small","Ground","03_Size_Specific",3
"Inverse_SM_Both_Data_Model",2,58,0.0942123136816785,0.0942123136816785,0.222428974046915,0.739576898106346,3128.72246637502,6,0.103448275862069,1.39601781146074,0.973553164362159,4.3,37.5,37.5,0.334421621565056,0.326827984463874,0.410275056444894,0.400645572535065,0.41809402872137,0.454545454545455,0.372404672798799,0.378052852746052,0.357174887491275,0.38883282914813,"03_Size_Specific - Small - Ground","Small","Ground","03_Size_Specific",3
"Inverse_SM_Ground_Data_Model",2,58,0.0377314627544514,0.0377314627544514,0.185500342331028,0.575467532182882,2126.8406981793,3,0.0517241379310345,1.00644492671476,0.974101708871746,3.2,27.2,27.2,0.0842677356485695,0.0696906119336408,0.0788376815842573,0.0985106712669373,0.279372026685273,0.181818181818182,0.128042013962935,0.122135745423736,0.0775986763888225,0.138797247533984,"03_Size_Specific - Small - Ground","Small","Ground","03_Size_Specific",3
"SM_Data_Model",2,58,0.0726450527882752,0.0726450527882752,0.191386821326861,0.597856821207099,2324.17802469031,2,0.0344827586206897,1.0700848758773,0.973645823259686,0.7,5.8,5.8,0.238900147782537,0.110678692783431,0.144119801228586,0.147866903463302,0.394661421983452,0.0909090909090909,0.222090015944502,0.207245393448262,0.164566213931518,0.19585383093742,"03_Size_Specific - Small - Ground","Small","Ground","03_Size_Specific",3
"All_Clarity_Model",1,27,0.0700107289905365,0.0700107289905365,0.260114719629191,0.746848857189932,34257.5231818073,4,0.148148148148148,1.05940363128941,0.732235364023034,0.7,8.2,8.2,0.116809615956507,0.0513771845433485,0.0962189883562583,0.0127503800780489,1,0.2,0.316101447214029,0.255431233786833,0.0881352629520381,0.292881157771223,"03_Size_Specific - Medium - Ground","Medium","Ground","03_Size_Specific",3
"All_Minimal_Model",1,27,0.200906996847272,0.200906996847272,0.315931165308711,1.07274080675072,31781.1526629998,5,0.185185185185185,1.04925440508834,0.760511420289892,0.5,5.5,5.5,0.468190330350444,0.313126579518132,0,0,0,0.3,0.195329227467144,0.156263381973715,0.260438969956192,0.216263381973715,"03_Size_Specific - Medium - Ground","Medium","Ground","03_Size_Specific",3
"All_ROM_Agg_Model",2,27,0.0756711925877727,0.0756711925877727,0.278771976126596,0.893466208931242,36333.0256748641,4,0.148148148148148,1.13063397422003,0.747917748451459,0.3,3.1,3.1,0.132004684350471,0.138869778180083,0.176862312404955,0.102236408614845,0.4453828963834,0.2,0.223279917829727,0.199071215986751,0.14924559164517,0.218623934263782,"03_Size_Specific - Medium - Ground","Medium","Ground","03_Size_Specific",3
"All_ROM_GenB_Model",1,27,0.399016620158036,0.399016620158036,0.462402689977281,1.49773083976305,57517.9699078295,12,0.444444444444444,1.84524841773276,0.748920634383052,0.5,5.6,5.6,1,1,1,1,0.409915222881536,1,0.852478805720384,0.881983044576307,1,0.881983044576307,"03_Size_Specific - Medium - Ground","Medium","Ground","03_Size_Specific",3
