"watershed_group","run_timing_group","CU","gazetted_stream_name","stream_alias","year","size","aggr","lpe_method","water_clarity","lpe","hpe","classic","calibration.model","fit","se.fit","fit.cv","calibrated.se.lower","calibrated.se.upper","calibrated.estimate"
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2009,"Medium","SM","Aerial","Clear",17520,26349,31536,"All_Systems_Discharge_Model",10.7511518417464,0.072773968002634,7.3,43407.0814463046,50207.8069112616,46683.7698117608
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2009,"Medium","SM","Ground","Clear",20874,26349,37573.2,"Stellako_Discharge_Model",10.4394236518239,0.0978474237393841,9.8,30994.846511544,37694.5603626686,34180.9466334835
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Gluske Creek",NA,1998,"Small","SM","Ground","Clear",446,837,802.8,"Early_Stu_DeadAlive_Model",9.80919926415094,0.355531864960896,36.7,844.89153010014,1050.23789928124,943.844980783622
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Gluske Creek",NA,2007,"Small","SM","Ground","Clear",79,167,142.2,"Early_Stu_DeadAlive_Model",5.59196776003392,0.646763361788988,72.1,120.935203710974,242.822432925402,174.861410229341
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2010,"Medium","SM","Ground","Clear",48212,202396,86781.6,"Stellako_Discharge_Model",11.6766909873916,0.0794892656395577,8,108792.940017336,127539.353777102,117793.80826394
"Quesnel","Summer","Quesnel-S","Horsefly River",NA,2010,"Medium","SM","Aerial","Clear",56217,124072,101190.6,"All_Minimal_Model",11.6329055550538,0.0516011611831298,5.2,107077.097768319,118718.059874106,112747.440343472
"Quesnel","Summer","Quesnel-S","Mitchell River",NA,2010,"Medium","SM","Aerial","Clear",38405,74320,69129,"All_Minimal_Model",11.5520731892835,0.0929956060386931,9.3,94757.6239201411,114127.188644601,103992.409437651
"Late South Thompson","Late","Shuswap Complex-L","Adams River (Lower)",NA,2011,"Large","LXL","Aerial","Clear",14860,148169,26748,"All_ROM_Gen_Model",10.6949790222314,0.6266113732393,69.3,23585.034275487,82585.5822688792,44133.7035435795
"Late South Thompson","Late","Shuswap Complex-L","Adams River (Lower)",NA,2011,"Large","LXL","Ground","Clear",19580,148169,35244,"All_Clarity_Model",11.5486441629254,0.142069565468955,14.3,89910.9124542564,119457.235979409,103636.427409343
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2011,"Medium","SM","Aerial","Clear",28490,85628,51282,"All_Systems_Discharge_Model",11.110959948335,0.0669138117167894,6.7,62570.3083223064,71530.1100811329,66900.3814795178
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2011,"Medium","SM","Ground","Clear",33900,85628,61020,"Stellako_Discharge_Model",11.2670167006689,0.138108606805891,13.9,68111.9595275278,89780.6998502975,78199.3567400435
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2012,"Medium","SM","Ground","Clear",91897,137992,165414.6,"Stellako_Discharge_Model",11.8676253779671,0.11929828213808,12,126541.689716119,160640.408768227,142575.274021197
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2012,"Medium","SM","Aerial","Clear",52586,137992,94654.8,"All_Systems_Discharge_Model",11.532311645005,0.0622777714753919,6.2,95801.5241489945,108509.110532652,101957.531222955
"Lower Fraser","Early Summer","Chilliwack-ES","Chilliwack River (Upper)","Dolly Varden Creek",2012,"Medium","SM","Aerial","Clear",48530,122158,87354,"All_Minimal_Model",11.5234847635477,0.0478686755622394,4.8,96337.8042245998,106016.86233875,101061.524471466
"Harrison-Lillooet","Summer","Harrison River (River-Type)","Harrison River",NA,2012,"X-Large","LXL","Aerial","Pt_Turb_Tannic",16600,71002,29880,"All_ROM_GenB_Model",10.5785354597626,0.542244683197677,58.5,22840.5050618206,67560.5926415206,39282.5413919243
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Tachie River",NA,2012,"X-Large","LXL","Aerial","Pt_Turb_Tannic",28244,68568,50839.2,"All_ROM_GenB_Model",11.1571267093337,0.571902666575242,62.2,39546.1665869917,124123.134981449,70061.3600587088
"Harrison-Lillooet","Summer","Harrison River (River-Type)","Harrison River",NA,2013,"X-Large","LXL","Aerial","Clear",67090,250117,120762,"All_ROM_GenB_Model",12.0989722391711,0.620180685105354,68.5,96644.207883905,334085.732875392,179687.091965606
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2013,"Medium","SM","Ground","Clear",63261,109220,113869.8,"Stellako_Discharge_Model",11.8137597911157,0.072389622802227,7.2,125664.40349967,145240.956900859,135098.550002092
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2013,"Medium","SM","Aerial","Clear",52050,109220,93690,"All_Systems_Discharge_Model",11.5222814626095,0.0624995087026128,6.3,94824.3919223916,107450.007439993,100939.990180076
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Tachie River",NA,2013,"X-Large","LXL","Aerial","Pt_Turb_Tannic",10895,97155,19611,"All_ROM_GenB_Model",10.1201084354175,0.518746192548308,55.6,14784.908489747,41724.9532444833,24837.463949821
"Harrison-Lillooet","Late","Lillooet-Harrison-L","Birkenhead River",NA,2013,"Medium","SM","Aerial","Pt_Turb_Tannic",26486,80121,47674.8,"All_Minimal_Model",11.248580371264,0.0823183852628948,8.2,70704.3223141535,83357.9076518913,76770.8562545239
"Early South Thompson","Early Summer","Shuswap-ES","Eagle River",NA,2014,"Medium","SM","Aerial","Pt_Turb_Tannic",66368,212701,119462.4,"All_Minimal_Model",11.9988753039376,0.11568882651666,11.6,144811.254074266,182510.709131245,162571.844645004
"Early South Thompson","Early Summer","Shuswap-ES","Seymour River",NA,2014,"Medium","SM","Aerial","Clear",34770,95156,62586,"All_Minimal_Model",11.2753576907777,0.0433052333026735,4.3,75512.4224508162,82344.1688773371,78854.3446274638
"Harrison-Lillooet","Late","Lillooet-Harrison-L","Birkenhead River",NA,2014,"Medium","SM","Aerial","Pt_Turb_Tannic",12064,35759,21715.2,"All_Minimal_Model",10.6062707545925,0.0800170545977582,8,37281.5445869531,43751.7901730697,40387.3038973427
"Harrison-Lillooet","Summer","Harrison River (River-Type)","Harrison River",NA,2015,"X-Large","LXL","Aerial","Pt_Turb_Tannic",11012,115715,19821.6,"All_ROM_GenB_Model",10.1317369264257,0.519342256856716,55.6,14948.9249953661,42238.1526698675,25127.9719875017
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2015,"Medium","SM","Aerial","Clear",68244,101215,122839.2,"All_Systems_Discharge_Model",11.7156957165219,0.0665873875037265,6.7,114589.141678013,130912.325093716,122479.104207869
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2015,"Medium","SM","Ground","Clear",64241,101215,115633.8,"Stellako_Discharge_Model",11.8310751702988,0.0651654105300949,6.5,128786.305052707,146714.0276402,137458.202807916
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2016,"Medium","SM","Ground","Clear",22121,27774,39817.8,"Stellako_Discharge_Model",10.5598777203844,0.0891640551766122,8.9,35267.3774900577,42152.1839379,38556.4129940567
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2016,"Medium","SM","Aerial","Clear",22855,27774,41139,"All_Systems_Discharge_Model",10.9397178628844,0.0664070963106426,6.6,52749.5629804783,60241.9937794809,56371.4364278604
"Nechako","Early Summer","Francois-Fraser-ES","Nadina River",NA,2016,"Medium","SM","Aerial","Pt_Turb_Tannic",5026,16672,9046.8,"All_Minimal_Model",9.43057086701718,0.13524749382133,13.6,10886.9855999344,14268.62515698,12463.6397819779
"Harrison-Lillooet","Late","Lillooet-Harrison-L","Birkenhead River",NA,2016,"Medium","SM","Aerial","Pt_Turb_Tannic",7439,36439,13390.2,"All_Minimal_Model",10.2113653149,0.0926943175331438,9.3,24801.7872817022,29853.5676945207,27210.6934046047
"Lower Fraser","Early Summer","Chilliwack-ES","Chilliwack River (Upper)","Dolly Varden Creek",2016,"Medium","SM","Aerial","Clear",16783,56002,30209.4,"All_Minimal_Model",10.7333116575467,0.054975417594496,5.5,43405.2742825436,48449.973731497,45858.3078492617
"Harrison-Lillooet","Summer","Harrison River (River-Type)","Harrison River",NA,2016,"X-Large","LXL","Aerial","Clear",5536,65758,9964.8,"All_ROM_GenB_Model",9.38306120468105,0.480965921011422,51,7347.35220929062,19226.1599045895,11885.3425887166
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2017,"Medium","SM","Ground","Clear",65170,91295,117306,"Stellako_Discharge_Model",11.8520626215291,0.06337413904689,6.3,131753.55941644,149557.581856441,140373.58635905
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2017,"Medium","SM","Aerial","Clear",50334,91295,90601.2,"All_Systems_Discharge_Model",11.5015650232372,0.0617891223498602,6.2,92946.1805526962,105172.185252635,98870.3844415154
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Tachie River",NA,2017,"X-Large","LXL","Aerial","Pt_Turb_Tannic",47665,114676,85797,"All_ROM_GenB_Model",11.7268324166276,0.601105186332589,66,67895.6488866217,225920.309436772,123850.740837009
"Harrison-Lillooet","Summer","Harrison River (River-Type)","Harrison River",NA,2017,"X-Large","LXL","Aerial","Clear",5270,49983,9486,"All_ROM_GenB_Model",9.32945430452988,0.478218087277703,50.7,6983.01616151675,18172.6390283124,11264.9825580032
"Late South Thompson","Late","Shuswap Complex-L","Adams River (Lower)",NA,2018,"Large","LXL","Ground","Clear",181880,535564,327384,"All_Clarity_Model",13.154991594123,0.139864736447566,14.1,449156.589536105,594131.723545248,516583.176925838
"Late South Thompson","Late","Shuswap Complex-L","Little River",NA,2018,"X-Large","LXL","Ground","Clear",53100,127386,95580,"All_Clarity_Model",11.7993815402534,0.118797110062235,11.9,118253.325690493,149968.214953699,133169.967207857
"Late South Thompson","Late","Shuswap Complex-L","Little River",NA,2018,"X-Large","LXL","Aerial","Clear",51480,127386,92664,"All_ROM_GenB_Model",11.8106537345642,0.605401779576769,66.5,73515.5299697549,246731.385103748,134679.577279088
"Early South Thompson","Early Summer","Shuswap-ES","Seymour River",NA,2018,"Medium","SM","Ground","Clear",77460,119462,139428,"All_Minimal_Model",11.8714441658284,0.0622130002063344,6.2,134488.122506408,152307.558402719,143120.77966919
"Early South Thompson","Early Summer","Shuswap-ES","Seymour River",NA,2018,"Medium","SM","Aerial","Clear",37730,119462,67914,"All_Minimal_Model",11.3361569497328,0.0438477434039543,4.4,80202.4391175225,87553.4456350629,83797.3740225518
"Late South Thompson","Late","Shuswap Complex-L","Eagle River",NA,2018,"Medium","SM","Aerial","Clear",83495,179688,150291,"All_Minimal_Model",12.1863853746163,0.126782634602478,12.7,172750.345221164,222608.078611161,196101.051575707
"Early South Thompson","Early Summer","Shuswap-ES","Scotch Creek",NA,2018,"Small","SM","Aerial","Clear",22677,81169,40818.6,"All_Minimal_Model",10.534296429809,0.0867133729845119,8.7,34460.9837347894,40986.9828082568,37582.599003973
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2018,"Medium","SM","Aerial","Clear",91008,176923,163814.4,"All_Systems_Discharge_Model",11.9191745899707,0.0736476431475857,7.4,139459.141772508,161590.758045025,150117.64864708
